LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,WAGEGAP,EMPLOYEE,PC,A,2016,11.53846154,
AUS,WAGEGAP,EMPLOYEE,PC,A,2017,11.66419019,
AUS,WAGEGAP,EMPLOYEE,PC,A,2018,11.71428571,
AUS,WAGEGAP,EMPLOYEE,PC,A,2019,14.15787792,
AUS,WAGEGAP,EMPLOYEE,PC,A,2020,9.863859826,
AUT,WAGEGAP,EMPLOYEE,PC,A,2016,15.67089964,
AUT,WAGEGAP,EMPLOYEE,PC,A,2017,15.38215397,
AUT,WAGEGAP,EMPLOYEE,PC,A,2018,14.87669089,
AUT,WAGEGAP,EMPLOYEE,PC,A,2019,14.01174081,
BEL,WAGEGAP,EMPLOYEE,PC,A,2016,3.701298701,
BEL,WAGEGAP,EMPLOYEE,PC,A,2017,4.190296156,
BEL,WAGEGAP,EMPLOYEE,PC,A,2018,3.408756979,
CAN,WAGEGAP,EMPLOYEE,PC,A,2016,18.22115385,
CAN,WAGEGAP,EMPLOYEE,PC,A,2017,18.17322239,
CAN,WAGEGAP,EMPLOYEE,PC,A,2018,18.51851852,
CAN,WAGEGAP,EMPLOYEE,PC,A,2019,17.60714286,
CAN,WAGEGAP,EMPLOYEE,PC,A,2020,16.11253197,
CZE,WAGEGAP,EMPLOYEE,PC,A,2016,16.02343084,
CZE,WAGEGAP,EMPLOYEE,PC,A,2017,15.61401089,
CZE,WAGEGAP,EMPLOYEE,PC,A,2018,15.12741386,
CZE,WAGEGAP,EMPLOYEE,PC,A,2019,14.71433226,
CZE,WAGEGAP,EMPLOYEE,PC,A,2020,12.37286209,
DNK,WAGEGAP,EMPLOYEE,PC,A,2016,5.732628038,
DNK,WAGEGAP,EMPLOYEE,PC,A,2017,5.296691966,
DNK,WAGEGAP,EMPLOYEE,PC,A,2018,4.86320601,
DNK,WAGEGAP,EMPLOYEE,PC,A,2019,5.059215628,
FIN,WAGEGAP,EMPLOYEE,PC,A,2016,16.47225837,
FIN,WAGEGAP,EMPLOYEE,PC,A,2017,17.71792064,
FIN,WAGEGAP,EMPLOYEE,PC,A,2018,18.85520372,
FIN,WAGEGAP,EMPLOYEE,PC,A,2019,17.15982964,
FRA,WAGEGAP,EMPLOYEE,PC,A,2018,11.82380216,
DEU,WAGEGAP,EMPLOYEE,PC,A,2016,15.51071879,
DEU,WAGEGAP,EMPLOYEE,PC,A,2017,16.19047619,
DEU,WAGEGAP,EMPLOYEE,PC,A,2018,15.25012142,
DEU,WAGEGAP,EMPLOYEE,PC,A,2019,13.89490258,
GRC,WAGEGAP,EMPLOYEE,PC,A,2018,5.909090909,
HUN,WAGEGAP,EMPLOYEE,PC,A,2016,9.364317181,
HUN,WAGEGAP,EMPLOYEE,PC,A,2017,5.320268655,
HUN,WAGEGAP,EMPLOYEE,PC,A,2018,5.063214286,
HUN,WAGEGAP,EMPLOYEE,PC,A,2019,12.7536732,
ISL,WAGEGAP,EMPLOYEE,PC,A,2018,12.90124719,
IRL,WAGEGAP,EMPLOYEE,PC,A,2018,8.284023669,
ITA,WAGEGAP,EMPLOYEE,PC,A,2018,5.708061002,
JPN,WAGEGAP,EMPLOYEE,PC,A,2016,24.60128945,
JPN,WAGEGAP,EMPLOYEE,PC,A,2017,24.51809266,
